ts,value,state,source
1706431933,62.0,discharging,history-charge
1706431933,0.396,discharging,history-rate
1706431933,262272.0,discharging,history-time-empty
1706432053,60.0,discharging,history-charge
1706432053,17.017,discharging,history-rate
1706432053,5991.0,discharging,history-time-empty
1706432173,14.587,discharging,history-rate
1706432173,6892.0,discharging,history-time-empty
1706432293,59.0,discharging,history-charge
1706432293,10.384,discharging,history-rate
1706432293,9558.0,discharging,history-time-empty
1706432413,58.0,discharging,history-charge
1706432413,11.987,discharging,history-rate
1706432413,8162.0,discharging,history-time-empty
1706432533,57.0,discharging,history-charge
1706432533,13.573,discharging,history-rate
1706432533,7105.0,discharging,history-time-empty
1706432653,56.0,discharging,history-charge
1706432653,19.389,discharging,history-rate
1706432653,4883.0,discharging,history-time-empty
1706432773,55.0,discharging,history-charge
1706432773,14.66,discharging,history-rate
1706432773,6333.0,discharging,history-time-empty
1706432893,54.0,discharging,history-charge
1706432893,12.405,discharging,history-rate
1706432893,7348.0,discharging,history-time-empty
1706433013,53.0,discharging,history-charge
1706433013,13.144,discharging,history-rate
1706433013,6808.0,discharging,history-time-empty
1706433133,52.0,discharging,history-charge
1706433133,12.657,discharging,history-rate
1706433133,6951.0,discharging,history-time-empty
1706433253,51.0,discharging,history-charge
1706433253,14.556,discharging,history-rate
1706433253,5925.0,discharging,history-time-empty
1706433373,50.0,discharging,history-charge
1706433373,14.506,discharging,history-rate
1706433373,5824.0,discharging,history-time-empty
1706433493,49.0,discharging,history-charge
1706433493,14.335,discharging,history-rate
1706433493,5773.0,discharging,history-time-empty
1706433613,48.0,discharging,history-charge
1706433613,8.639,discharging,history-rate
1706433613,9434.0,discharging,history-time-empty
1706433733,47.0,discharging,history-charge
1706433733,16.265,discharging,history-rate
1706433733,4906.0,discharging,history-time-empty
1706433853,46.0,discharging,history-charge
1706433853,12.366,discharging,history-rate
1706433853,6334.0,discharging,history-time-empty
1706433973,45.0,discharging,history-charge
1706433973,12.274,discharging,history-rate
1706433973,6262.0,discharging,history-time-empty
1706434094,44.0,discharging,history-charge
1706434094,13.02,discharging,history-rate
1706434094,5778.0,discharging,history-time-empty
1706434214,12.652,discharging,history-rate
1706434214,5827.0,discharging,history-time-empty
1706434334,43.0,discharging,history-charge
1706434334,12.301,discharging,history-rate
1706434334,5870.0,discharging,history-time-empty
1706434454,42.0,discharging,history-charge
1706434454,12.465,discharging,history-rate
1706434454,5672.0,discharging,history-time-empty
1706434574,41.0,discharging,history-charge
1706434574,12.894,discharging,history-rate
1706434574,5355.0,discharging,history-time-empty
1706434694,40.0,discharging,history-charge
1706434694,12.457,discharging,history-rate
1706434694,5421.0,discharging,history-time-empty
1706434814,39.0,discharging,history-charge
1706434814,12.578,discharging,history-rate
1706434814,5252.0,discharging,history-time-empty
1706434934,38.0,discharging,history-charge
1706434934,12.527,discharging,history-rate
1706434934,5149.0,discharging,history-time-empty
1706435054,37.0,discharging,history-charge
1706435054,12.427,discharging,history-rate
1706435054,5066.0,discharging,history-time-empty
1706435174,36.0,discharging,history-charge
1706435174,12.531,discharging,history-rate
1706435174,4906.0,discharging,history-time-empty
1706435294,35.0,discharging,history-charge
1706435294,12.465,discharging,history-rate
1706435294,4808.0,discharging,history-time-empty
1706435414,34.0,discharging,history-charge
1706435414,12.443,discharging,history-rate
1706435414,4698.0,discharging,history-time-empty
1706435534,33.0,discharging,history-charge
1706435534,12.308,discharging,history-rate
1706435534,4615.0,discharging,history-time-empty
1706435654,12.454,discharging,history-rate
1706435654,4442.0,discharging,history-time-empty
1706435774,32.0,discharging,history-charge
